"מועדון","שם","מפתח","סוג","ממצא","פירוט","עונות במאגר","עונות ויקיפדיה","עונות התאחדות","עונות worldfootball","עמדה מאגר","עמדה ויקיפדיה","עמדה wf","לידה מאגר","לידה ויקיפדיה","לידה wf","תיקון מוצע"
"ביתרdle","דוד כסלסי","","שנת לידה","אין בשום מקור","","94/95","-","-","-","FW","","","","","",""
"ביתרdle","דמיטרי גורמן","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","94/95","-","-","-","MF","","","","","",""
"ביתרdle","דמיטרי גורמן","","שנת לידה","אין בשום מקור","","94/95","-","-","-","MF","","","","","",""
"ביתרdle","ירון דרורי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","94/95","-","-","-","MF","","","1967","","",""
"ביתרdle","מיקי דהן","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","94/95-95/96","-","-","-","GK","","","","","",""
"ביתרdle","מיקי דהן","","שנת לידה","אין בשום מקור","","94/95-95/96","-","-","-","GK","","","","","",""
"ביתרdle","סהר סעדו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","94/95-95/96","-","-","-","MF","","","","","",""
"ביתרdle","סהר סעדו","","שנת לידה","אין בשום מקור","","94/95-95/96","-","-","-","MF","","","","","",""
"ביתרdle","עופר דגמי","","עונות","המאגר קצר מדי","חסרות 91/92-93/94, 95/96-97/98","94/95","91/92-97/98","-","-","MF","FW","","1967","1967","","""עופר דגמי"": { ""spells"": [[1992,1998]] }"
"ביתרdle","עופר דגמי","","עמדה","סתירה","מאגר: MF · ויקיפדיה: FW","94/95","91/92-97/98","-","-","MF","FW","","1967","1967","",""
"ביתרdle","איציק קורנפיין","","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","95/96-06/07","95/96-06/07","-","-","GK","","","1971","","",""
"ביתרdle","אישטוון פישונט","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 95/96 — ייתכן שאלה עונות השאלה","95/96-97/98","96/97-97/98","-","-","MF","MF","","1970","1970","",""
"ביתרdle","נועם אלבוים","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","95/96-96/97","-","-","-","DF","","","","","",""
"ביתרdle","נועם אלבוים","","שנת לידה","אין בשום מקור","","95/96-96/97","-","-","-","DF","","","","","",""
"ביתרdle","איציק זוהר","28782","עונות","המאגר קצר מדי","חסרות 02/03","96/97","96/97, 02/03","02/03","-","MF","MF","","1970","1970","","""28782"": { ""spells"": [[1997,1997],[2003,2003]] }"
"ביתרdle","ניר סביליה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","96/97-00/01","-","-","-","FW","","","1975","","",""
"ביתרdle","שלמה ממן","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","96/97-97/98","-","-","-","GK","","","","","",""
"ביתרdle","שלמה ממן","","שנת לידה","אין בשום מקור","","96/97-97/98","-","-","-","GK","","","","","",""
"ביתרdle","אושרי אוחנה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","97/98","-","-","-","MF","","","","","",""
"ביתרdle","אושרי אוחנה","","שנת לידה","אין בשום מקור","","97/98","-","-","-","MF","","","","","",""
"ביתרdle","אישטוון האמר","","עונות","המאגר קצר מדי","חסרות 00/01","97/98-99/00","97/98-00/01","-","-","MF","MF","","1970","1970","","""אישטוון האמר"": { ""spells"": [[1998,2001]] }"
"ביתרdle","גילי כהן","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","97/98","-","-","-","MF","","","1978","","",""
"ביתרdle","דוד פרץ","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","97/98","-","-","-","DF","","","1971","","",""
"ביתרdle","יוסף שמואלי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","97/98-98/99","-","-","-","MF","","","","","",""
"ביתרdle","יוסף שמואלי","","שנת לידה","אין בשום מקור","","97/98-98/99","-","-","-","MF","","","","","",""
"ביתרdle","יעקב הלל","","עונות","סתירה","ויקיפדיה מוסיפה 92/93 · המאגר מוסיף 97/98","97/98","92/93","-","-","DF","DF","","1966","1966","",""
"ביתרdle","ראובן עטר","","עונות","המאגר קצר מדי","חסרות 00/01 · בתיבה יש שנה בודדת, בדוק ידנית","97/98","97/98, 00/01","-","-","MF","MF","","1969","1969","",""
"ביתרdle","ניר רייכמן","28801","עונות","סתירה","ויקיפדיה מוסיפה 93/94-97/98 · המאגר מוסיף 02/03, 05/06","98/99-02/03, 05/06","93/94-01/02","02/03-03/04","-","MF","MF","","1975","1975","",""
"ביתרdle","אלון כהן","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","99/00","-","-","-","DF","","","1979","","",""
"ביתרdle","אלון מזרחי","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 99/00, 05/06 — ייתכן שאלה עונות השאלה","99/00-00/01, 05/06","00/01","-","-","FW","FW","","1971","1971","",""
"ביתרdle","בני חדד","","עמדה","סתירה","מאגר: MF · ויקיפדיה: DF","99/00-00/01","99/00-00/01","-","-","MF","DF","","1977","1977","",""
"ביתרdle","אלון אופיר","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 00/01 — ייתכן שאלה עונות השאלה","00/01-01/02","01/02","-","-","MF","MF","","1973","1973","",""
"ביתרdle","בראנקו סאביץ'","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","00/01","-","-","-","DF","","","1972","","",""
"ביתרdle","דראגן איסאילוביץ'","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","00/01","-","-","-","FW","","","1976","","",""
"ביתרdle","ויקטור פאסו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","00/01-01/02","-","-","-","FW","","","1974","","",""
"ביתרdle","ולדימיר פטרוביץ'","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","00/01","-","-","-","FW","","","1972","","",""
"ביתרdle","ישראל כהן","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 04/05-05/06 — ייתכן שאלה עונות השאלה","00/01, 04/05-05/06","00/01","-","-","DF","DF","","1971","1971","",""
"ביתרdle","מילאן סטויאנוסקי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","00/01","-","-","-","DF","","","1973","","",""
"ביתרdle","פליקס חלפון","","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 04/05-05/06 — ייתכן שאלה עונות השאלה","00/01, 04/05-05/06","00/01","-","-","DF","DF","","1972","1972","",""
"ביתרdle","גולן חרמון","13343","עונות","סתירה","ויקיפדיה מוסיפה 96/97, 03/04 · המאגר מוסיף 01/02","01/02-02/03","96/97, 02/03-03/04","02/03-03/04","-","GK","DF","","1969","1977","",""
"ביתרdle","גולן חרמון","13343","עמדה","סתירה","מאגר: GK · ויקיפדיה: DF","01/02-02/03","96/97, 02/03-03/04","02/03-03/04","-","GK","DF","","1969","1977","",""
"ביתרdle","גולן חרמון","13343","שנת לידה","סתירה","מאגר: 1969 · ויקיפדיה: 1977","01/02-02/03","96/97, 02/03-03/04","02/03-03/04","-","GK","DF","","1969","1977","",""
"ביתרdle","מנור חסן","","שנת לידה","סתירה","מאגר: 1979 · ויקיפדיה: 1976","01/02","01/02","-","-","MF","MF","","1979","1976","",""
"ביתרdle","סרגיי קונובלוב","","עונות","סתירה","ויקיפדיה מוסיפה 02/03 · המאגר מוסיף 01/02","01/02","02/03","-","-","FW","MF","","1972","1972","",""
"ביתרdle","סרגיי קונובלוב","","עמדה","סתירה","מאגר: FW · ויקיפדיה: MF","01/02","02/03","-","-","FW","MF","","1972","1972","",""
"ביתרdle","קורנליו פפורה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","01/02","-","-","-","MF","","","1973","","",""
"ביתרdle","כפיר אדרי","13274","עמדה","סתירה","מאגר: MF · ויקיפדיה: DF","02/03","02/03","02/03","-","MF","DF","","1976","1976","",""
"ביתרdle","משה ביטון","1525","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 04/05 — ייתכן שאלה עונות השאלה","02/03-04/05","02/03-03/04","02/03-04/05","-","FW","FW","","1982","1982","",""
"ביתרdle","צ'וקוודי נוורגו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","02/03","-","-","-","FW","","","1981","","",""
"ביתרdle","אבירם ברוכיאן","28842","עונות","המאגר קצר מדי","חסרות 02/03, 11/12","03/04-10/11, 13/14","02/03-11/12, 13/14","04/05-10/11, 13/14","-","MF","MF","","1985","1985","","""28842"": { ""spells"": [[2003,2012],[2014,2014]] }"
"ביתרdle","אנדרה קלדיירה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","03/04-04/05","-","-","-","MF","","","1980","","",""
"ביתרdle","חנן פדידה","4395","עונות","המאגר קצר מדי","חסרות 04/05","03/04","03/04-04/05","03/04","-","FW","FW","","1981","1981","","""4395"": { ""spells"": [[2004,2005]] }"
"ביתרdle","קפונה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","03/04","-","-","-","DF","","","1972","","",""
"ביתרdle","אדם מורינו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","04/05-05/06","-","-","-","GK","","","1981","","",""
"ביתרdle","אייל אלג","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","04/05-05/06","-","-","-","MF","","","1986","","",""
"ביתרdle","אלי ששון","28803","עונות","סתירה","ויקיפדיה מוסיפה 02/03-03/04, 06/07-07/08 · המאגר מוסיף 09/10","04/05-05/06, 09/10","02/03-07/08","02/03-04/05, 06/07","-","MF","MF","","1982","1982","",""
"ביתרdle","אליאב יוני","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","04/05-05/06","-","-","-","MF","","","1985","","",""
"ביתרdle","אלירן דנין","26787","עונות","המאגר קצר מדי","חסרות 03/04, 07/08","04/05-06/07, 08/09-09/10","03/04-09/10","03/04-05/06, 08/09-09/10","-","DF","DF","","1984","1984","","""26787"": { ""spells"": [[2004,2010]] }"
"ביתרdle","דניאל שמשיאלשווילי","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","04/05-05/06","-","-","-","DF","","","1986","","",""
"ביתרdle","טל בנין","1416","עונות","סתירה","ויקיפדיה מוסיפה 05/06 · המאגר מוסיף 04/05","04/05","05/06","04/05","-","MF","MF","","1971","1971","",""
"ביתרdle","מור אפרים","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","04/05-05/06","-","-","-","MF","","","1985","","",""
"ביתרdle","ניסים נאור","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","04/05-05/06","-","-","-","DF","","","1987","","",""
"ביתרdle","שחר מתן","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","04/05","-","-","-","DF","","","1987","","",""
"ביתרdle","שי חדד","26449","עונות","סתירה","ויקיפדיה מוסיפה 08/09-09/10 · המאגר מוסיף 04/05-06/07","04/05-07/08, 10/11-13/14","07/08-13/14","06/07-07/08, 10/11-13/14","-","MF","DF","","1987","1987","",""
"ביתרdle","שי חדד","26449","עמדה","סתירה","מאגר: MF · ויקיפדיה: DF","04/05-07/08, 10/11-13/14","07/08-13/14","06/07-07/08, 10/11-13/14","-","MF","DF","","1987","1987","",""
"ביתרdle","שמואל קוז'וקין","33805","עונות","סתירה","ויקיפדיה מוסיפה 06/07 · המאגר מוסיף 04/05-05/06","04/05-05/06, 07/08-12/13","06/07-12/13","06/07-11/12","-","DF","DF","","1987","1987","",""
"ביתרdle","אגנסו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","05/06","-","-","-","FW","","","1981","","",""
"ביתרdle","איגור מיטרסקי","70745","עונות","סתירה","ויקיפדיה מוסיפה 06/07 · המאגר מוסיף 05/06","05/06","06/07","05/06","-","DF","DF","","1979","1979","",""
"ביתרdle","איתמר יחיא","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","05/06","-","-","-","DF","","","1986","","",""
"ביתרdle","איתן טיבי","650","עונות","סתירה","ויקיפדיה מוסיפה 07/08-08/09 · המאגר מוסיף 05/06","05/06-06/07, 09/10","06/07-09/10","06/07, 09/10","-","DF","DF","","1987","1987","",""
"ביתרdle","ז'רום לרואה","","עונות","סתירה","ויקיפדיה מוסיפה 06/07 · המאגר מוסיף 05/06","05/06","06/07","-","-","MF","MF","","1974","1974","",""
"ביתרdle","חן עזריאל","21740","עונות","סתירה","ויקיפדיה מוסיפה 08/09, 12/13 · המאגר מוסיף 05/06-06/07","05/06-07/08, 09/10-10/11","07/08-10/11, 12/13","07/08, 09/10-10/11, 12/13","-","FW","FW","","1988","1988","",""
"ביתרdle","יואב זיו","13261","עונות","המאגר קצר מדי","חסרות 08/09","05/06-07/08","05/06-08/09","05/06-07/08","-","DF","DF","","1981","1981","","""13261"": { ""spells"": [[2006,2009]] }"
"ביתרdle","לבן סילגדזה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","05/06","-","-","-","DF","","","1976","","",""
"ביתרdle","פבריס פרננדס","71174","עונות","סתירה","ויקיפדיה מוסיפה 06/07 · המאגר מוסיף 05/06","05/06","06/07","05/06","-","MF","MF","","1979","1979","",""
"ביתרdle","תומר חליבה","","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","05/06","05/06","-","-","DF","","","1979","","",""
"ביתרdle","דרק בואטנג","72010","עונות","המאגר קצר מדי","חסרות 08/09","06/07-07/08","06/07-08/09","06/07-07/08","-","MF","MF","","1983","1983","","""72010"": { ""spells"": [[2007,2009]] }"
"ביתרdle","טוטו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","06/07","-","-","-","MF","","","1978","","",""
"ביתרdle","מילובאן מירושביץ'","","עונות","המאגר קצר מדי","חסרות 07/08","06/07","06/07-07/08","-","-","MF","","","1980","","","""מילובאן מירושביץ'"": { ""spells"": [[2007,2008]] }"
"ביתרdle","מילובאן מירושביץ'","","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","06/07","06/07-07/08","-","-","MF","","","1980","","",""
"ביתרdle","עמרי אפק","13400","עונות","המאגר קצר מדי","חסרות 05/06","06/07","05/06-06/07","05/06-06/07","-","MF","MF","","1979","1979","","""13400"": { ""spells"": [[2006,2007]] }"
"ביתרdle","קובי מויאל","13822","עונות","סתירה","ויקיפדיה מוסיפה 05/06, 07/08-08/09 · המאגר מוסיף 15/16","06/07, 09/10-12/13, 15/16-16/17","05/06-12/13, 16/17","06/07, 09/10-12/13, 16/17","-","MF","MF","","1987","1987","",""
"ביתרdle","רמאליו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","06/07","-","-","-","MF","","","1980","","",""
"ביתרdle","שוונק","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","06/07","-","-","-","FW","","","1979","","",""
"ביתרdle","שמעון גרשון","13404","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 10/11 — ייתכן שאלה עונות השאלה","06/07-10/11","06/07-09/10","06/07-10/11","-","DF","DF","","1977","1977","",""
"ביתרdle","אריאל הרוש","21721","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 07/08 — ייתכן שאלה עונות השאלה","07/08-13/14","08/09-13/14","07/08-13/14","-","GK","GK","","1988","1988","",""
"ביתרdle","ג'וניור ויסה","","עונות","סתירה","ויקיפדיה מוסיפה 08/09 · המאגר מוסיף 07/08","07/08, 09/10","08/09-09/10","-","-","MF","MF","","1985","1985","",""
"ביתרdle","דן אביאנדר","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","07/08","-","-","-","MF","","","","","",""
"ביתרdle","דן אביאנדר","","שנת לידה","אין בשום מקור","","07/08","-","-","-","MF","","","","","",""
"ביתרdle","טברטקו קאלה","","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","07/08-08/09","07/08-08/09","-","-","GK","","","1974","","",""
"ביתרdle","יהונתן זדה","29558","שנת לידה","אין בשום מקור","","07/08","-","07/08, 10/11","-","FW","","","","","",""
"ביתרdle","יוסי זאנה","","עונות","סתירה","ויקיפדיה מוסיפה 78/79 · המאגר מוסיף 07/08","07/08","78/79","-","-","FW","DF","","1957","1957","",""
"ביתרdle","יוסי זאנה","","עמדה","סתירה","מאגר: FW · ויקיפדיה: DF","07/08","78/79","-","-","FW","DF","","1957","1957","",""
"ביתרdle","מתן בראשי","29552","עונות","סתירה","ויקיפדיה מוסיפה 13/14-14/15 · המאגר מוסיף 07/08","07/08-12/13","08/09-14/15","07/08-08/09, 10/11-12/13","-","DF","DF","","1988","1988","",""
"ביתרdle","רומולו","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","07/08","-","-","-","FW","","","1982","","",""
"ביתרdle","גל בראל","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","08/09","-","-","-","MF","","","1990","","",""
"ביתרdle","דריו פרננדס","","עונות","סתירה","ויקיפדיה מוסיפה 09/10-10/11 · המאגר מוסיף 11/12","08/09, 11/12-12/13","08/09-10/11, 12/13","-","-","MF","","","1978","","",""
"ביתרdle","דריו פרננדס","","זהות","שני ערכים באותו שם","בוויקיפדיה יש יותר מערך אחד בשם הזה — אין תיקון אוטומטי","08/09, 11/12-12/13","08/09-10/11, 12/13","-","-","MF","","","1978","","",""
"ביתרdle","עידן ורד","709","עונות","המאגר קצר מדי","חסרות 07/08","08/09-09/10, 16/17-20/21","07/08-09/10, 16/17-20/21","08/09-09/10, 16/17-20/21","-","MF","MF","","1989","1989","","""709"": { ""spells"": [[2008,2010],[2017,2021]] }"
"ביתרdle","אבי ריקן","","עונות","המאגר קצר מדי","חסרות 07/08-08/09","09/10-12/13","07/08-12/13","-","-","MF","MF","","1988","1988","","""אבי ריקן"": { ""spells"": [[2008,2013]] }"
"ביתרdle","ברק משה","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","09/10-12/13","-","-","-","MF","","","1991","","",""
"ביתרdle","סבסטיאן ואסקס","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","09/10","-","-","-","DF","","","1980","","",""
"ביתרdle","פאולו האסה","104991","עמדה","סתירה","מאגר: DF · ויקיפדיה: MF","09/10","09/10","09/10","-","DF","MF","","1983","1983","",""
"ביתרdle","אופיר קריאף","27403","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 10/11, 17/18 — ייתכן שאלה עונות השאלה","10/11-14/15, 17/18-23/24","11/12-14/15, 18/19-23/24","10/11-14/15, 17/18-23/24","-","MF","DF","","1991","1991","",""
"ביתרdle","אופיר קריאף","27403","עמדה","סתירה","מאגר: MF · ויקיפדיה: DF","10/11-14/15, 17/18-23/24","11/12-14/15, 18/19-23/24","10/11-14/15, 17/18-23/24","-","MF","DF","","1991","1991","",""
"ביתרdle","משה מישאלוף","","עמדה","סתירה","מאגר: MF · ויקיפדיה: DF","10/11","10/11","-","-","MF","DF","","1983","1983","",""
"ביתרdle","צחי אליחן","45180","עמדה","סתירה","מאגר: MF · ויקיפדיה: FW","10/11-13/14","10/11-13/14","10/11-13/14","-","MF","FW","","1991","1991","",""
"ביתרdle","אריאל עוז","","עונות","מקור יחיד","אין ויקיפדיה, אין התאחדות, אין worldfootball","11/12","-","-","-","MF","","","1992","","",""
"ביתרdle","הרמוני איקנדה","","עונות","סתירה","ויקיפדיה מוסיפה 12/13 · המאגר מוסיף 11/12","11/12","12/13","-","-","MF","MF","","1990","1990","",""
"ביתרdle","חיים מגרלשוילי","13265","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 11/12 — ייתכן שאלה עונות השאלה","11/12-12/13","12/13","11/12-12/13","-","DF","DF","","1982","1982","",""
"ביתרdle","טל כחילה","72438","עונות","המאגר ארוך מדי","ויקיפדיה לא מכירה 11/12 — ייתכן שאלה עונות השאלה","11/12-18/19","12/13-18/19","11/12-15/16, 17/18-18/19","-","DF","DF","","1992","1992","",""
